,sum_max_potential_value,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,30.0,3.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0
1,31.0,3.0,4.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0
2,31.0,3.0,4.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0
3,34.0,3.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0
4,34.0,3.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0
5,35.0,3.0,4.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0
6,36.0,3.0,4.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0
7,36.0,3.0,4.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0
8,38.0,3.0,4.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0
9,38.0,3.0,4.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0
10,38.0,3.0,4.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0
11,38.0,3.0,4.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0
12,38.0,3.0,4.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0
13,38.0,3.0,4.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0
14,38.0,3.0,4.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0
15,38.0,3.0,4.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0
16,38.0,3.0,4.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0
17,38.0,3.0,4.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0
18,39.0,3.0,4.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0
19,39.0,3.0,4.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0
20,40.0,4.0,4.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0
21,40.0,4.0,4.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0
22,40.0,4.0,4.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0
23,40.0,4.0,4.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0
24,40.0,4.0,4.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0
25,40.0,4.0,4.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0
26,40.0,4.0,4.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0
27,40.0,4.0,4.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0
28,40.0,4.0,4.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0
29,40.0,4.0,4.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0
30,40.0,4.0,4.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0
31,40.0,4.0,4.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0
32,40.0,4.0,4.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0
33,40.0,4.0,4.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0
34,40.0,4.0,4.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0
35,40.0,4.0,4.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0
36,40.0,4.0,4.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0
37,40.0,4.0,4.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0
38,40.0,4.0,4.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0
39,40.0,4.0,4.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0
40,40.0,4.0,4.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0
41,40.0,4.0,4.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0
42,40.0,4.0,4.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0
43,40.0,4.0,4.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0
44,40.0,4.0,4.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0
45,40.0,4.0,4.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0
46,40.0,4.0,4.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0
47,40.0,4.0,4.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0
48,40.0,4.0,4.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0
49,40.0,4.0,4.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0
50,40.0,4.0,4.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0
